lemma,pos,ner
he,PRP$,O
chair,NN,O
.,.,O
I,PRP,O
look,VBD,O
with,IN,O
interest,NN,O
upon,IN,O
this,DT,O
man,NN,O
",",",",O
who,WP,O
be,VBD,O
accuse,VBN,O
of,IN,O
be,VBG,O
the,DT,O
perpetrator,NN,O
of,IN,O
a,DT,O
crime,NN,O
of,IN,O
violence,NN,O
.,.,O
he,PRP,O
be,VBD,O
flaxen,JJ,O
-,HYPH,O
haired,JJ,O
and,CC,O
handsome,JJ,O
in,IN,O
a,DT,O
wash,VBN,O
-,HYPH,O
out,RP,O
negative,JJ,O
fashion,NN,O
",",",",O
with,IN,O
frightened,JJ,O
blue,JJ,O
eye,NNS,O
and,CC,O
a,DT,O
clean,JJ,O
-,HYPH,O
shaven,JJ,O
face,NN,O
",",",",O
with,IN,O
a,DT,O
weak,JJ,O
",",",",O
sensitive,JJ,O
mouth,NN,O
.,.,O
he,PRP$,O
age,NN,O
may,MD,O
have,VB,O
be,VBN,O
about,RB,O
twenty,CD,O
-,HYPH,O
seven,CD,O
;,:,O
he,PRP$,O
dress,NN,O
and,CC,O
bearing,NN,O
that,IN,O
of,IN,O
a,DT,O
gentleman,NN,O
.,.,O
from,IN,O
the,DT,O
pocket,NN,O
of,IN,O
he,PRP$,O
light,JJ,O
summer,NN,DATE
overcoat,NN,O
protrude,VBD,O
the,DT,O
bundle,NN,O
of,IN,O
endorse,VBN,O
papers,NNS,O
which,WDT,O
proclaim,VBD,O
he,PRP$,O
profession,NN,O
.,.,O
"""",``,O
we,PRP,O
must,MD,O
use,VB,O
what,WP,O
time,NN,O
we,PRP,O
have,VBP,O
",",",",O
"""",'',O
say,VBD,O
Holmes,NNP,PERSON
.,.,O
"""",``,O
Watson,NNP,PERSON
",",",",O
would,MD,O
you,PRP,O
have,VB,O
the,DT,O
kindness,NN,O
to,TO,O
take,VB,O
the,DT,O
paper,NN,O
and,CC,O
to,TO,O
read,VB,O
I,PRP,O
the,DT,O
paragraph,NN,O
in,IN,O
question,NN,O
?,.,O
"""",'',O
underneath,RB,O
the,DT,O
vigorous,JJ,O
head,NN,O
-,HYPH,O
line,NNS,O
which,WDT,O
we,PRP$,O
client,NN,O
have,VBD,O
quote,VBN,O
I,PRP,O
read,VBP,O
the,DT,O
follow,VBG,O
suggestive,JJ,O
narrative,NN,O
:,:,O
--,:,O
"""",``,O
late,RB,O
last,JJ,O
night,NN,O
",",",",O
or,CC,O
early,RB,TIME
this,DT,TIME
morning,NN,TIME
",",",",O
a,DT,O
incident,NN,O
occur,VBD,O
at,IN,O
Lower,NNP,LOCATION
Norwood,NNP,LOCATION
which,WDT,O
point,VBZ,O
",",",",O
it,PRP,O
be,VBZ,O
fear,VBN,O
",",",",O
to,IN,O
a,DT,O
serious,JJ,O
crime,NN,O
.,.,O
Mr.,NNP,PERSON
Jonas,NNP,PERSON
Oldacre,NNP,PERSON
be,VBZ,O
a,DT,O
well,RB,O
-,HYPH,O
know,VBN,O
resident,NN,O
of,IN,O
that,DT,O
suburb,NN,O
",",",",O
where,WRB,O
he,PRP,O
have,VBZ,O
carry,VBN,O
on,IN,O
he,PRP$,O
business,NN,O
as,IN,O
a,DT,O
builder,NN,O
for,IN,O
many,JJ,O
year,NNS,O
.,.,O
Mr.,NNP,PERSON
Oldacre,NNP,PERSON
be,VBZ,O
a,DT,O
bachelor,NN,O
",",",",O
fifty,CD,O
-,HYPH,O
two,CD,O
year,NNS,O
of,IN,O
age,NN,O
",",",",O
and,CC,O
live,VBZ,O
in,IN,O
Deep,NNP,ORGANIZATION
Dene,NNP,ORGANIZATION
House,NNP,ORGANIZATION
",",",",O
at,IN,O
the,DT,O
Sydenham,NNP,LOCATION
end,NN,O
of,IN,O
the,DT,O
road,NN,O
of,IN,O
that,DT,O
name,NN,O
.,.,O
he,PRP,O
have,VBZ,O
have,VBN,O
the,DT,O
reputation,NN,O
of,IN,O
be,VBG,O
a,DT,O
man,NN,O
of,IN,O
eccentric,JJ,O
habit,NNS,O
",",",",O
secretive,JJ,O
and,CC,O
retire,VBG,O
