,count,dirty_character,strongly_suggested,similarity,clean_character
606,2,Miss Kitty Winter,,,
607,2,Mr. Abe Slaney,,,
608,2,Mr. Abelwhite,,,
609,2,MacPherson,,,
610,2,King of Scandinavia,King of Scandinavia,[2.0],
611,2,MacNamara,,,
612,2,Regina,,,
613,2,Ku Klux Klan,,,
614,2,Bellamy,,,
615,2,Lady Beatrice,,,
616,2,Ray Ernest,,,
617,2,Mrs. Vandeleur,,,
618,2,Melville,,,
619,2,Prince,Prince Albert,[1.6454972243679027],
620,2,Miss Presbury,,,
621,2,Lady Frances Carfax,,,
622,2,Owen,,,
623,2,Morcar,,,
624,2,Poe,,,
625,2,Miss Mary Morstan,,,
626,2,Melas,,,
627,2,M. Moser,,,
628,2,Lady Eva,,,
629,2,Mr. Sherman,,,
630,2,Mr. Cummings,,,
631,2,Uncle Sam,,,
632,2,Mr. John Hector McFarlane,,,
633,2,Mr. John Mason,,,
634,2,Mr. John Scott Eccles,,,
635,2,Mr. John Turner,,,
636,2,Adelbert Gruner,,,
637,2,Tudor,,,
638,2,Fraser,,,
639,2,Tuson,,,
640,2,U. S. A.,,,
641,2,Fournaye,,,
642,2,Fordham,Fordham,[2.0],
643,2,Verner,,,
644,2,Flora Millar,,,
645,2,Fitzroy McPherson,,,
646,2,Mr. Josiah Brown,,,
647,2,Ezekiah Hopkins,Ezekiah Hopkins,[2.0],
648,2,Evans Pott,,,
649,2,Valentine Walter,,,
650,2,Eva,,,
651,2,Eustace Brackenstall,,,
652,2,Van Seddar,,,
653,2,Buddha,,,
654,2,Brown,Sam Brown,[1.7071067811865475],
655,2,Tobias Gregson,Tobias Gregson,[2.0],
656,2,Mr. John Clay,John Clay,[1.8164965809277263],
657,2,Gentile,,,
658,2,Mr. James Desmond,,,
659,2,Susan Tarlton,,,
660,2,Sutton,,,
661,2,Grimpen Mire,,,
662,2,Griggs,,,
663,2,Swandam Lane,,,
664,2,Jonas Pinto,,,
665,2,Ted,,,
666,2,Agatha,Agatha,[2.0],
667,2,Teddy,,,
668,2,Mr. James McCarthy,,,
669,2,Gorot,,,
670,2,Gordon,,,
671,2,Goethe,,,
672,2,Gladstone,Gladstone,[2.0],
673,2,Giuseppe Gorgiano,,,
674,2,Mr. Jefferson Hope,,,
675,2,Mr. Willoughby Smith,,,
676,2,Mr. Williamson,,,
677,2,Thorneycroft Huxtable,,,
678,2,Thurston,,,
679,2,Eminent Bodymaster,,,
680,2,Elrige,,,
681,2,Mr. Windigate,,,
682,2,Winwood Reade,,,
683,2,Mr. Murdoch,,,
684,2,Damery,,,
685,2,Cyril Morton,Morton,[1.674199862463242],
686,2,Crockford,,,
687,2,Cowper,,,
688,2,Count Sylvius,,,
689,2,William the coachman,,,
690,2,Claridge,,,
691,2,Christie,,,
692,2,Mr. Percy Phelps,,,
693,2,Charles the Second,,,
694,2,Elman,,,
695,2,Charles the First,,,
696,2,Yew Alley,,,
697,2,Audley Court,,,
698,2,Cavendish,,,
699,2,Catherine Cusack,,,
700,2,Castalotte,,,
701,2,Abelwhite,,,
702,2,Carter,,,
703,2,Mr. Shafter,,,
704,2,Carlo,,,
705,2,Wilder,,,
706,2,Daulat Ras,,,
707,2,De Merville,,,
708,2,Dennis,,,
709,2,Victor Trevor,,,
710,2,Elias,Elias Openshaw,[1.5547001962252291],
711,2,Edwards,,,
712,2,Edmunds,,,
713,2,Edith Baxter,,,
714,2,Adams,Adams,[2.0],
715,2,ELSIE,,,
716,2,Von Herder,,,
717,2,Dunn,,,
718,2,Dunlop,,,
719,2,Von Kramm,,,
720,2,Waldron,,,
721,2,Dr. Watson,Mrs. Watson,[1.5156425651503995],
722,2,Dr. Lysander Starr,Dr. Lysander Starr,[2.0],
723,2,Douglas Maberley,,,
724,2,Mr. Merton,,,
725,2,Dorak,,,
726,2,Don Murillo,,,
727,2,Cadogen West,,,
728,2,Mr. Moriarty,,,
729,2,Desborough,,,
730,2,Akbar,Dost Akbar,[1.6666666666666665],
731,2,Sylvius,,,
732,2,Hargrave,,,
733,2,Jack Woodley,,,
734,2,James Wilder,,,
735,2,James Stanger,,,
736,2,Saunders,,,
737,2,James Ryder,,,
738,2,James Moriarty,James Moriarty,[2.0],
