,character1,character2,similarity,normalized
413,John Clay,Mr. John Clay,2.705385469816615,No
414,Cunningham,Mr. Cunningham,2.729486191773741,No
415,Cunningham,Alec Cunningham,2.6827361066896542,No
416,Forrester,Mrs. Forrester,2.656259412347608,No
417,Mr. Cunningham,Mr. Alec Cunningham,2.7850217707839824,No
418,Mr. Alec Cunningham,Mr. Alec,2.5013873422401014,No
419,Mr. Alec Cunningham,Alec Cunningham,2.807843029614123,No
420,Percy Trevelyan,Trevelyan,2.6130718031613114,No
421,Bruce Pinkerton,Pinkerton,2.6130718031613114,No
422,Blessington,Mr. Blessington,2.749916159490421,No
423,Athelney Jones,Mr. Athelney Jones,2.7960432596461864,No
424,Miss Mary Morstan,Mary Morstan,2.664383470316123,No
425,Mrs. Cecil Forrester,Mrs. Forrester,2.7640122971316687,No
426,Mahomet Singh,Mahomet,2.6071067811865474,No
427,Abdullah Khan,Abdullah,2.68042928249264,No
428,Mr. Thaddeus Sholto,Thaddeus Sholto,2.807843029614123,No
429,Mr. Thaddeus Sholto,Mr. Thaddeus,2.703958182192794,No
430,Bartholomew,Mr. Bartholomew Sholto,2.51546238473918,No
431,Bartholomew,Bartholomew Sholto,2.6846120476708997,No
432,Bartholomew,Bartholomew Wilson,2.6846120476708997,No
433,Lal Chowdar,I. Lal Chowdar,2.800134942383952,No
434,Thaddeus Sholto,Thaddeus,2.6071067811865474,No
435,Mr. Thaddeus,Thaddeus,2.6765119140053444,No
436,Mr. Bartholomew Sholto,Bartholomew Sholto,2.836243347350374,No
437,Jonathan Small,Jonathan,2.6414916933976507,No
438,Sherman,Mr. Sherman,2.64126333590815,No
439,Hindoos,Hindoo,2.879537595841944,No
440,Jonathan,Jonathan Wild,2.68042928249264,No
441,Mordecai Smith,Mr. Mordecai Smith,2.7960432596461864,No
442,Abelwhite,Mr. Abelwhite,2.705385469816615,No
443,Mr. Hall Pycroft,Mr. Pycroft,2.7387188031499483,No
444,Mr. Hall Pycroft,Hall Pycroft,2.7674599496887864,No
445,Mr. Pycroft,Pycroft,2.64126333590815,No
446,Arthur Pinner,Mr. Arthur Harry Pinner,2.587033794360845,No
447,Mr. Pinner,Mr. Harry Pinner,2.68126333590815,No
448,Harry Pinner,Mr. Harry Pinner,2.7674599496887864,No
449,Mr. Harry Pinner,Mr. Arthur Harry Pinner,2.7514803996023462,No
450,MacDonald,Alec MacDonald,2.656259412347608,No
451,MacDonald,Mr. MacDonald,2.705385469816615,No
452,Mr. Mac,Mr. MacDonald,2.6071067811865474,No
453,Mr. Douglas,Mrs. Douglas,2.6735708757755785,No
454,Mr. Douglas,Mr. John Douglas,2.7387188031499483,No
455,White Mason,Mr. White Mason,2.749916159490421,No
456,John Douglas,Mr. John Douglas,2.7674599496887864,No
457,Cecil James Barker,Cecil Barker,2.7338114312457265,No
458,Cecil Barker,Mr. Cecil Barker,2.7674599496887864,No
459,McGinty,Mr. McGinty,2.64126333590815,No
460,Bodymaster McGinty,Bodymaster,2.6334892280501756,No
461,Ted Baldwin,Teddy Baldwin,2.628250502924416,No
462,Bodymaster J. H. Scott,Bodymaster,2.540367956422263,No
463,McMurdo,Mr. McMurdo,2.64126333590815,No
464,Jack McMurdo--see,Jack McMurdo,2.76665619758885,No
465,Miss Ettie Shafter,Miss Ettie,2.6334892280501756,No
466,Miss Ettie Shafter,Ettie Shafter,2.7421288347305315,No
467,Mr. McMurdo,Mr. Crooked McMurdo,2.641652288796226,No
468,Marvin,Marvin--he,2.6564671036110408,No
469,Jim Carnaway,Carnaway,2.6765119140053444,No
470,Stanger,Mr. Stanger,2.64126333590815,No
471,Mr. Chairman,Mr. Chairman--yourself,2.6285087692176505,No
472,Mr. Grant Munro,Mr. Munro,2.6559289460184545,No
473,Mr. Grant Munro,Grant Munro,2.749916159490421,No
